Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
2,Brandin Cooks,HOU,DEN,WR,-,-,-,-,-,4,54,-,-,-,-,-,9.4
2,Sterling Shepard,NYG,CAR,WR,-,-,-,-,-,6,34,-,-,-,-,-,9.4
2,Allen Lazard,GB,CHI,WR,-,-,-,-,-,2,13,1,-,-,-,-,9.3
2,Davante Adams,LV,ARI,WR,-,-,-,-,-,2,12,1,-,-,-,-,9.2
2,Adam Thielen,MIN,PHI,WR,-,-,-,-,-,4,52,-,-,-,-,-,9.2
2,Mike Evans,TB,NO,WR,-,-,-,-,-,3,61,-,-,-,-,-,9.1
2,Treylon Burks,TEN,BUF,WR,-,-,-,-,-,4,47,-,-,-,-,-,8.7
2,DeAndre Carter,LAC,KC,WR,-,-,-,-,-,3,55,-,-,-,-,-,8.5
2,Demarcus Robinson,BAL,MIA,WR,-,-,-,-,-,1,12,1,-,-,-,-,8.2
2,Robert Woods,TEN,BUF,WR,-,-,-,-,-,4,39,-,-,-,-,-,7.9
2,Russell Gage,TB,NO,WR,-,-,-,-,-,5,28,-,-,-,-,-,7.8
2,KhaDarel Hodge,ATL,LA,WR,-,-,-,-,-,2,57,-,-,-,-,-,7.7
2,Mecole Hardman,KC,LAC,WR,-,-,-,-4,-,3,49,-,-,-,-,-,7.5
2,DK Metcalf,SEA,SF,WR,-,-,-,-,-,4,35,-,-,-,-,-,7.5
2,River Cracraft,MIA,BAL,WR,-,-,-,-,-,1,2,1,-,-,-,-,7.2
2,Scott Miller,TB,NO,WR,-,-,-,8,-,3,34,-,-,-,-,-,7.2
2,Jake Kumerow,BUF,TEN,WR,-,-,-,-,-,2,50,-,-,-,-,-,7
2,Randall Cobb,GB,CHI,WR,-,-,-,-,-,3,37,-,-,-,-,-,6.7
2,David Sills,NYG,CAR,WR,-,-,-,-,-,3,37,-,-,-,-,-,6.7
2,Chase Claypool,PIT,NE,WR,-,-,-,-,-,4,26,-,-,-,-,-,6.6
2,A.J. Green,ARI,LV,WR,-,-,-,-,-,3,16,-,-,-,1,-,6.6
2,Jarvis Landry,NO,TB,WR,-,-,-,-,-,4,25,-,-,-,-,-,6.5
2,Elijah Moore,NYJ,CLE,WR,-,-,-,-6,-,3,41,-,-,-,-,-,6.5
2,Marvin Jones,JAX,IND,WR,-,-,-,-,-,3,33,-,-,-,-,-,6.3
2,Equanimeous St. Brown,CHI,GB,WR,-,-,-,-,-,2,39,-,-,-,-,-,5.9
2,Tyler Boyd,CIN,DAL,WR,-,-,-,-,-,2,17,-,-,-,1,-,5.7
2,Isaiah McKenzie,BUF,TEN,WR,-,-,-,-,-,2,37,-,-,-,-,-,5.7
2,Zay Jones,JAX,IND,WR,-,-,-,-,-,3,23,-,-,-,-,-,5.3
2,Tyrie Cleveland,DEN,HOU,WR,-,-,-,-,-,2,28,-,-,-,-,-,4.8
2,Romeo Doubs,GB,CHI,WR,-,-,-,-,-,2,27,-,-,-,-,-,4.7
2,K.J. Osborn,MIN,PHI,WR,-,-,-,-,-,2,25,-,-,-,-,-,4.5
2,Dezmon Patmon,IND,JAX,WR,-,-,-,-,-,2,24,-,-,-,-,-,4.4
2,Robbie Anderson,CAR,NYG,WR,-,-,-,-,-,3,32,-,-,-,-,1,4.2
2,JuJu Smith-Schuster,KC,LAC,WR,-,-,-,-,-,3,10,-,-,-,-,-,4
2,Christian Watson,GB,CHI,WR,-,-,-,-,-,3,9,-,-,-,-,-,3.9
2,Kendrick Bourne,NE,PIT,WR,-,-,-,-,-,2,16,-,-,-,-,-,3.6
2,Ben Skowronek,LA,ATL,WR,-,-,-,-,-,2,16,-,-,-,-,-,3.6
2,Chris Moore,HOU,DEN,WR,-,-,-,-,-,2,14,-,-,-,-,-,3.4
2,Zach Pascal,PHI,MIN,WR,-,-,-,-,-,2,14,-,-,-,-,-,3.4
2,Jalen Reagor,MIN,PHI,WR,-,-,-,17,-,1,7,-,-,-,-,-,3.4
2,George Pickens,PIT,NE,WR,-,-,-,-,-,1,23,-,-,-,-,-,3.3
2,Mike Strachan,IND,JAX,WR,-,-,-,-,-,1,23,-,-,-,-,-,3.3
2,Marquez Valdes-Scantling,KC,LAC,WR,-,-,-,-,-,2,13,-,-,-,-,-,3.3
2,Andre Baccellia,ARI,LV,WR,-,-,-,-,-,2,12,-,-,-,-,-,3.2
2,Kendall Hinton,DEN,HOU,WR,-,-,-,-,-,1,20,-,-,-,-,-,3
2,Trent Sherfield,MIA,BAL,WR,-,-,-,-,-,2,9,-,-,-,-,-,2.9
2,Jeff Smith,NYJ,CLE,WR,-,-,-,-,-,1,17,-,-,-,-,-,2.7
2,Jamison Crowder,BUF,TEN,WR,-,-,-,-,-,1,16,-,-,-,-,-,2.6
2,Ray-Ray McCloud,SF,SEA,WR,-,-,-,-,-,1,16,-,-,-,-,-,2.6
2,Nick Westbrook-Ikhine,TEN,BUF,WR,-,-,-,-,-,1,13,-,-,-,-,-,2.3
2,Braxton Berrios,NYJ,CLE,WR,-,-,-,22,-,-,-,-,-,-,-,-,2.2
2,Jerry Jeudy,DEN,HOU,WR,-,-,-,1,-,1,11,-,-,-,-,-,2.2
2,Lil'Jordan Humphrey,NE,PIT,WR,-,-,-,-,-,1,11,-,-,-,-,-,2.1
2,Kadarius Toney,NYG,CAR,WR,-,-,-,-,-,2,-,-,-,-,-,-,2
2,Deonte Harty,NO,TB,WR,-,-,-,-,-,1,9,-,-,-,-,-,1.9
2,Tylan Wallace,BAL,MIA,WR,-,-,-,-,-,1,9,-,-,-,-,-,1.9
