Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,TwoPT,Lost,Points
1,Kenny Golladay,NYG,TEN,WR,-,-,-,-,-,2,22,-,-,-,-,-,4.2
1,Marquise Goodwin,SEA,DEN,WR,-,-,-,-,-,2,22,-,-,-,-,-,4.2
1,Skyy Moore,KC,ARI,WR,-,-,-,-,-,1,30,-,-,-,-,-,4
1,Josh Palmer,LAC,LV,WR,-,-,-,4,-,3,5,-,-,-,-,-,3.9
1,Demarcus Robinson,BAL,NYJ,WR,-,-,-,-,-,2,19,-,-,-,-,-,3.9
1,Nelson Agholor,NE,MIA,WR,-,-,-,-,-,3,28,-,-,-,-,1,3.8
1,Josh Reynolds,DET,PHI,WR,-,-,-,-,-,1,28,-,-,-,-,-,3.8
1,Dennis Houston,DAL,TB,WR,-,-,-,-,-,2,16,-,-,-,-,-,3.6
1,Mike Thomas,CIN,PIT,WR,-,-,-,-,-,1,5,-,-,-,1,-,3.5
1,Randall Cobb,GB,MIN,WR,-,-,-,-,-,2,14,-,-,-,-,-,3.4
1,Russell Gage,TB,DAL,WR,-,-,-,-,-,2,13,-,-,-,-,-,3.3
1,A.J. Green,ARI,KC,WR,-,-,-,-,-,2,13,-,-,-,-,-,3.3
1,Simi Fehoko,DAL,TB,WR,-,-,-,-,-,2,12,-,-,-,-,-,3.2
1,Cody Hollister,TEN,NYG,WR,-,-,-,-,-,1,22,-,-,-,-,-,3.2
1,Byron Pringle,CHI,SF,WR,-,-,-,-,-,1,22,-,-,-,-,-,3.2
1,Ray-Ray McCloud,SF,CHI,WR,-,-,-,-,-,1,20,-,-,-,-,-,3
1,Mike Williams,LAC,LV,WR,-,-,-,-,-,2,10,-,-,-,-,-,3
1,Juwann Winfree,GB,MIN,WR,-,-,-,-,-,1,17,-,-,-,-,-,2.7
1,Mack Hollins,LV,LAC,WR,-,-,-,-,-,1,16,-,-,-,-,-,2.6
1,Brandon Powell,LA,BUF,WR,-,-,-,3,-,1,10,-,-,-,-,-,2.3
1,Kadarius Toney,NYG,TEN,WR,-,-,-,23,-,-,-,-,-,-,-,-,2.3
1,Nick Westbrook-Ikhine,TEN,NYG,WR,-,-,-,-,-,1,13,-,-,-,-,-,2.3
1,Robert Woods,TEN,NYG,WR,-,-,-,-,-,1,13,-,-,-,-,-,2.3
1,Jamal Agnew,JAX,WAS,WR,-,-,-,6,-,1,6,-,-,-,-,-,2.2
1,Allen Robinson,LA,BUF,WR,-,-,-,-,-,1,12,-,-,-,-,-,2.2
